name,association,experiment,image,image.label,intensity,location,position,shape,shape.length,shape.roundness,shape.width.max,shape.width.mean,shape.width.min,zscore
b1,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,43.889954,(x=4.68 y=34.59),1,1,3.232316,0.25599077,0.6830328,0.68202335,0.67657405,7.0877247
b2,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,43.744,(x=4.13 y=91.44),1,1,1.8555154,0.44997737,0.7202024,0.71734077,0.71156675,7.1081038
b3,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,42.362206,(x=4.19 y=32.38),1,1,1.8637557,0.47875884,0.76982504,0.7680077,0.7641329,7.3010445
b4,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,42.964706,(x=4.59 y=27.20),1,1,2.345292,0.3946383,0.78588927,0.78410554,0.77843636,7.216917
b5,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,39.896553,(x=11.67 y=90.01),1,1,1.7246114,0.48840338,0.7961373,0.7625742,0.7121644,7.6453247
b6,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,44.31928,(x=12.86 y=25.89),1,1,2.479476,0.33411193,0.6911858,0.68976295,0.68404305,7.0277777
b7,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,43.08372,(x=17.04 y=92.22),1,1,3.7378612,0.18217188,0.55385876,0.55324066,0.54894704,7.200299
b9,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,41.762962,(x=25.49 y=48.74),1,1,1.9634489,0.44907027,0.7603027,0.75834554,0.75427383,7.384717
b10,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,43.941177,(x=26.88 y=28.63),1,1,1.8185755,0.44621956,0.6995686,0.6969913,0.6918403,7.080572
b11,0,p207_clscellshape_20240726,p207_cellshape_20240322,c:1/3 - p207_cellshape_20240322_cb_comp_Image006,39.678833,(x=27.89 y=66.90),1,1,1.9264712,0.44986486,0.7473389,0.7408945,0.70942116,7.6757255
