name,association,experiment,image,image.label,intensity,location,position,shape,shape.length,shape.roundness,shape.width.max,shape.width.mean,shape.width.min,zscore
b2,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,44.279762,(x=1.57 y=13.55),1,1,2.4753947,0.34778363,0.7252124,0.7237397,0.7163223,9.126434
b3,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,45.407143,(x=2.58 y=9.20),1,1,1.9130769,0.44334528,0.73060685,0.7278803,0.72242737,8.934895
b4,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,39.736843,(x=3.73 y=68.16),1,1,1.530948,0.60891885,0.88482606,0.8558243,0.83021307,9.898267
b5,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,43.68919,(x=3.92 y=37.97),1,1,2.1216767,0.3715915,0.6678075,0.6663132,0.66257656,9.226771
b6,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,40.46626,(x=5.80 y=77.88),1,1,2.2263143,0.42391354,0.80903,0.8065363,0.8002121,9.774341
b7,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,45.282722,(x=6.32 y=20.58),1,1,2.7150319,0.3424148,0.77100533,0.7696855,0.76444155,8.956033
b8,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,44.80102,(x=9.77 y=50.94),1,1,2.7218502,0.34558785,0.79063153,0.78916305,0.7832692,9.037873
b9,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,41.875,(x=9.80 y=89.55),1,1,2.5677357,0.3218762,0.6921726,0.6907301,0.68500704,9.534998
b11,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,43.96,(x=12.22 y=56.12),1,1,1.7527808,0.4922599,0.75228405,0.74881953,0.7405974,9.180761
b12,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,42.408,(x=14.65 y=37.26),1,1,1.7758887,0.5443493,0.853616,0.8506946,0.84336585,9.444443
b13,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,44.09655,(x=16.18 y=28.44),1,1,2.208944,0.38008225,0.7091762,0.707385,0.7015688,9.157561
b15,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,39.477272,(x=19.57 y=76.53),1,1,1.7618462,0.5315285,0.8244681,0.8210977,0.8160473,9.942368
b16,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,44.553032,(x=25.81 y=18.43),1,1,1.8788962,0.46989703,0.7647747,0.76278406,0.75866026,9.080007
b17,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,44.753246,(x=26.66 y=88.00),1,1,2.4665098,0.3057743,0.6295578,0.6285029,0.62481755,9.04599
b18,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,43.335712,(x=31.21 y=10.76),1,1,1.9870259,0.4466169,0.76376677,0.7603662,0.7519354,9.286826
b19,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,41.774437,(x=32.18 y=71.57),1,1,1.9690279,0.4314576,0.7283139,0.7260142,0.72023,9.552084
b21,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,44.86702,(x=37.33 y=62.99),1,1,2.78624,0.31140247,0.7230288,0.7215222,0.71469516,9.02666
b23,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,43.403847,(x=41.19 y=82.06),1,1,1.5632308,0.5269447,0.7906751,0.7497429,0.68838,9.27525
b24,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,45,(x=42.11 y=16.14),1,1,1.8571138,0.4680301,0.75321674,0.751209,0.7471633,9.004067
b25,0,p207_clscellshape_20240726,cellshape_20240329,c:1/3 - cellshape_20240329_wt_b_Image020,43.147434,(x=43.34 y=17.99),1,1,2.2492394,0.37740836,0.71961284,0.7174746,0.71099967,9.318814
