name,association,experiment,image,image.label,intensity,location,position,shape,shape.length,shape.roundness,shape.width.max,shape.width.mean,shape.width.min,zscore
b2,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18885.3,(x=3.64 y=41.77),1,1,2.3716683,0.36066222,0.72233135,0.72044164,0.7138623,6.82824
b4,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17342.818,(x=9.92 y=46.86),1,1,2.2317908,0.43804035,0.84042037,0.8379721,0.82923627,7.4991136
b6,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18096.678,(x=12.74 y=44.22),1,1,3.39083,0.30688334,0.86592203,0.86365205,0.85143644,7.1712365
b7,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18889.582,(x=14.29 y=33.37),1,1,2.5635715,0.31332442,0.6715311,0.6702729,0.66524625,6.826378
b10,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17086.945,(x=15.01 y=8.49),1,1,2.125662,0.48358563,0.8892002,0.88745916,0.8839357,7.6104
b11,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18054.387,(x=16.87 y=93.00),1,1,3.3470302,0.30225104,0.8431281,0.8422617,0.83779114,7.1896296
b13,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18932.64,(x=19.45 y=33.70),1,1,3.461829,0.25010204,0.71236664,0.7111245,0.70375997,6.8076496
b16,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17447.742,(x=28.91 y=56.25),1,1,1.9705341,0.53277856,0.920265,0.9178595,0.9124388,7.453479
b17,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18206.316,(x=30.03 y=58.45),1,1,3.1770816,0.32366842,0.8604627,0.85923725,0.8537794,7.1235514
b18,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17361.613,(x=30.50 y=42.43),1,1,2.863697,0.31877986,0.76388806,0.7626717,0.75784045,7.4909387
b19,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,16688.232,(x=31.83 y=6.21),1,1,1.8785068,0.46922195,0.76408315,0.76200366,0.7578392,7.783814
b20,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18187.62,(x=31.89 y=20.07),1,1,2.465305,0.3822898,0.79860294,0.79676455,0.790174,7.131683
b22,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17642.309,(x=34.39 y=81.04),1,1,1.9182752,0.48510036,0.8096918,0.80670875,0.80074817,7.368856
b23,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18275.523,(x=36.01 y=15.79),1,1,4.0106397,0.23087165,0.74975073,0.7489863,0.743809,7.0934505
b24,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17916.758,(x=36.79 y=49.04),1,1,1.9677217,0.5281848,0.9079027,0.9050587,0.89923304,7.249489
b25,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,16768.193,(x=37.66 y=33.61),1,1,2.1612732,0.4613431,0.8589983,0.8552211,0.84574306,7.749036
b26,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17802.572,(x=38.17 y=56.41),1,1,1.5512824,0.57946306,0.8531336,0.82882833,0.8017814,7.2991524
b28,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18260.572,(x=41.70 y=56.04),1,1,2.10458,0.42459857,0.76626074,0.7646729,0.7607069,7.0999537
b29,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,19544.404,(x=43.67 y=29.71),1,1,2.2422438,0.38544723,0.73443353,0.7325679,0.72449225,6.5415745
b30,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18189.818,(x=44.10 y=41.65),1,1,1.5007062,0.6058482,0.8860607,0.84568685,0.7891732,7.130727
b31,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,16867.387,(x=48.06 y=47.20),1,1,2.359157,0.43693697,0.8860394,0.8828965,0.8693609,7.705894
b32,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17650.836,(x=48.73 y=34.51),1,1,3.0697124,0.32993656,0.846614,0.84548324,0.84055674,7.365147
b34,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17751.67,(x=49.77 y=31.86),1,1,1.6809523,0.5294403,0.782884,0.7800526,0.77579653,7.3212914
b35,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18639.367,(x=51.60 y=62.83),1,1,3.0822926,0.2645044,0.67424583,0.6731546,0.66770196,6.935204
b36,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17712.648,(x=56.05 y=43.15),1,1,3.270001,0.30230576,0.82376945,0.8222546,0.8146431,7.338263
b37,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17002.404,(x=56.15 y=33.98),1,1,2.561251,0.39376935,0.8583865,0.8568,0.8520459,7.6471705
b38,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18053.98,(x=57.93 y=82.02),1,1,2.7080946,0.38120168,0.87313545,0.8716274,0.86613464,7.1898065
b39,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17520.646,(x=57.47 y=60.97),1,1,2.1143093,0.48145264,0.8847611,0.88071704,0.8706181,7.42177
b40,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18610.098,(x=59.03 y=8.57),1,1,4.097506,0.21474047,0.7202348,0.7197086,0.71582115,6.947934
b41,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18297.18,(x=61.00 y=68.37),1,1,4.1710887,0.2330334,0.79193455,0.7910891,0.78501177,7.084032
b42,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17816.732,(x=63.58 y=32.11),1,1,3.143279,0.31626782,0.82799625,0.82648283,0.8189923,7.292993
b43,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,19307.385,(x=63.65 y=96.32),1,1,2.2936866,0.36370173,0.7063499,0.7044584,0.69878554,6.644662
b44,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17190.154,(x=64.67 y=7.57),1,1,1.7548523,0.57920784,0.9676854,0.9361005,0.8802405,7.565512
b45,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,16445.55,(x=65.09 y=27.71),1,1,2.4794958,0.41266832,0.8735641,0.87176096,0.8660767,7.8893633
b46,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,17385.01,(x=65.60 y=41.15),1,1,2.5985556,0.39820686,0.8813967,0.8797692,0.87426025,7.480763
b47,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18236.195,(x=66.38 y=12.78),1,1,3.5912724,0.27423367,0.8145029,0.81325924,0.80568564,7.110555
b48,0,p207_clscellshape_20240726,p207_cellshape_20240412,- p207_cellshape_20240412_wt_a001_Image034_ch00,18104.332,(x=66.79 y=85.29),1,1,2.13412,0.44919556,0.8270032,0.82408094,0.81677145,7.1679077
