"exp_rep","media_type2","strain","str_med2","str_med2_rep","mintime","peak growth rate","peak growth time","doubling time","lag time","max y","max y time"
"exp1023_dccB_comp_bhis_dc_01_1","bhis_dc_01","cB_comp","cB_comp_bhis_dc_01","cB_comp_bhis_dc_01_1",0,0.0600223138951848,6.08606864652999,11.5481582694457,3.40220644618568,0.321622639944214,9.2
"exp1023_dcwt_bhis_1","bhis","wt","wt_bhis","wt_bhis_1",0,0.108770086867781,5.48557632474974,6.37259011664231,3.06961141969362,0.61536698860218,9.7
"exp1023_dcwt_bhis_dc_01_1","bhis_dc_01","wt","wt_bhis_dc_01","wt_bhis_dc_01_1",0,0.0696428569641488,5.68861317081679,9.9528826181954,3.10210565746374,0.325254707919616,8.2
"exp1030_dccAB_acomp_bhis_2","bhis","cAB_acomp","cAB_acomp_bhis","cAB_acomp_bhis_2",0,0.114918010815457,5.43186721951354,6.03166706107583,3.14894773017583,0.64118068269455,9.3
"exp1030_dccAB_acomp_bhis_dc_01_2","bhis_dc_01","cAB_acomp","cAB_acomp_bhis_dc_01","cAB_acomp_bhis_dc_01_2",0,0.0404106569488759,6.21445820503837,17.1525838205713,3.42642546909085,0.245643231058204,9.7
"exp1030_dccAB_bcomp_bhis_2","bhis","cAB_bcomp","cAB_bcomp_bhis","cAB_bcomp_bhis_2",0,0.112625239672009,5.58122778368977,6.15445687466282,3.23303456260004,0.622579377705961,9.3
"exp1030_dccAB_bcomp_bhis_dc_01_2","bhis_dc_01","cAB_bcomp","cAB_bcomp_bhis_dc_01","cAB_bcomp_bhis_dc_01_2",0,0.051475522421618,5.31615011208932,13.4655686421717,3.04711706280509,0.325517241946442,9.8
"exp1030_dccAB_bhis_2","bhis","cAB","cAB_bhis","cAB_bhis_2",0,0.105702037797735,5.51578849684714,6.55755740382519,3.18241657332039,0.59414444042647,9.3
"exp1030_dccAB_bhis_dc_01_2","bhis_dc_01","cAB","cAB_bhis_dc_01","cAB_bhis_dc_01_2",5.7,0.0134263319556091,11.8997981494617,51.6259528553047,8.46257103378097,0.110595235433131,15.5
"exp1030_dccA_bhis_2","bhis","cA","cA_bhis","cA_bhis_2",0,0.114044288924859,5.74211208426028,6.07787717468817,3.27434645275899,0.619491781633489,9.3
"exp1030_dccA_bhis_dc_01_2","bhis_dc_01","cA","cA_bhis_dc_01","cA_bhis_dc_01_2",0,0.0726899208993998,6.42478926907044,9.53567113546919,3.62237509004446,0.376771049170189,9.3
"exp1030_dccA_comp_bhis_2","bhis","cA_comp","cA_comp_bhis","cA_comp_bhis_2",0,0.113918428784155,5.10469676584638,6.08459217668175,3.01031883308545,0.620579750087215,9.3
"exp1030_dccA_comp_bhis_dc_01_2","bhis_dc_01","cA_comp","cA_comp_bhis_dc_01","cA_comp_bhis_dc_01_2",0,0.0741909371700498,5.74719785089282,9.34274733544897,3.17400627079078,0.355134672257336,8.3
"exp1030_dccB_bhis_2","bhis","cB","cB_bhis","cB_bhis_2",0,0.111540444338393,5.94613804817489,6.21431252736512,3.32724259499041,0.638319673304357,9.7
"exp1030_dccB_bhis_dc_01_2","bhis_dc_01","cB","cB_bhis_dc_01","cB_bhis_dc_01_2",0,0.0487587771881367,7.07304956778827,14.2158442137592,4.22107207437832,0.262867021332441,9.8
"exp1030_dccB_comp_bhis_2","bhis","cB_comp","cB_comp_bhis","cB_comp_bhis_2",0,0.108141935411811,5.53202513911322,6.40960583810898,3.18589090915169,0.613997060508544,9.5
"exp1030_dccB_comp_bhis_dc_01_2","bhis_dc_01","cB_comp","cB_comp_bhis_dc_01","cB_comp_bhis_dc_01_2",0,0.0570944182399811,5.89663256617391,12.1403668156576,3.47602446968195,0.315623891501481,9.2
"exp1030_dcwt_bhis_2","bhis","wt","wt_bhis","wt_bhis_2",0,0.113575410227411,5.26682035821672,6.10296876033345,2.9884166125461,0.631875076314134,9.3
"exp1030_dcwt_bhis_dc_01_2","bhis_dc_01","wt","wt_bhis_dc_01","wt_bhis_dc_01_2",0,0.0569693410106818,6.034335155795,12.1670212128657,3.39910777917978,0.325674424112376,9.5
