"Time","wellID","od","rowID","colID","abx","abx_conc","strain","replicate","abx_cond","str_abx_cond"
9.16722222222222,"A1",0.7023,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
9.33416666666667,"A1",0.7021,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
9.50083333333333,"A1",0.7053,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
9.6675,"A1",0.708,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
9.83416666666667,"A1",0.7097,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
10.0008333333333,"A1",0.7106,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
10.1675,"A1",0.7134,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
10.3341666666667,"A1",0.7167,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
10.5008333333333,"A1",0.7184,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
10.6675,"A1",0.7211,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
10.8341666666667,"A1",0.7231,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
11.0008333333333,"A1",0.725,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
11.1675,"A1",0.7273,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
11.3341666666667,"A1",0.7283,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
11.5008333333333,"A1",0.7346,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
11.6677777777778,"A1",0.7335,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
11.8344444444444,"A1",0.7363,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
12.0011111111111,"A1",0.7367,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
12.1677777777778,"A1",0.7399,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
12.3344444444444,"A1",0.7437,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
12.5011111111111,"A1",0.7436,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
12.6677777777778,"A1",0.7433,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
12.8344444444444,"A1",0.7447,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
13.0011111111111,"A1",0.7452,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
13.1677777777778,"A1",0.7455,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
13.3344444444444,"A1",0.7478,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
13.5011111111111,"A1",0.7496,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
13.6677777777778,"A1",0.7487,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
13.8344444444444,"A1",0.7496,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
14.0013888888889,"A1",0.7501,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
14.1680555555556,"A1",0.7502,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
14.3347222222222,"A1",0.7507,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
14.5013888888889,"A1",0.7529,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
14.6680555555556,"A1",0.7529,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
14.8347222222222,"A1",0.7508,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
15.0013888888889,"A1",0.7475,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
15.1680555555556,"A1",0.7486,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
15.3347222222222,"A1",0.7483,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
15.5013888888889,"A1",0.7466,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
15.6680555555556,"A1",0.7472,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
15.8347222222222,"A1",0.7425,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
16.0013888888889,"A1",0.7404,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
16.1680555555556,"A1",0.738,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
16.3347222222222,"A1",0.7415,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
16.5016666666667,"A1",0.7349,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
16.6683333333333,"A1",0.7349,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
16.835,"A1",0.7309,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
17.0016666666667,"A1",0.7294,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
17.1683333333333,"A1",0.7261,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
17.335,"A1",0.7238,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
17.5016666666667,"A1",0.7235,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
17.6683333333333,"A1",0.7185,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
17.835,"A1",0.7174,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
18.0016666666667,"A1",0.7088,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
18.1683333333333,"A1",0.7045,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
18.335,"A1",0.7027,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
18.5016666666667,"A1",0.694,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
18.6683333333333,"A1",0.6929,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
18.8352777777778,"A1",0.6879,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
19.0019444444444,"A1",0.6806,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
19.1686111111111,"A1",0.6794,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
19.3352777777778,"A1",0.6765,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
19.5019444444444,"A1",0.673,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
19.6686111111111,"A1",0.6695,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
19.8352777777778,"A1",0.6581,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
20.0019444444444,"A1",0.657,"A","1","bhis","0","wt","2","bhis_0","wt2_bhis_0"
