"Time","wellID","od","rowID","colID","abx","abx_conc","strain","abx_cond","str_abx_cond"
9.83527777777778,"A1",0.7412,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
10.0019444444444,"A1",0.745225,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
10.1686111111111,"A1",0.743625,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
10.3352777777778,"A1",0.7473,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
10.5019444444444,"A1",0.74635,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
10.6686111111111,"A1",0.747675,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
10.8352777777778,"A1",0.7474,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
11.0019444444444,"A1",0.752375,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
11.1686111111111,"A1",0.754225,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
11.3352777777778,"A1",0.751875,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
11.5019444444444,"A1",0.7503,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
11.6686111111111,"A1",0.753975,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
11.8355555555556,"A1",0.7552,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
12.0022222222222,"A1",0.756725,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
12.1688888888889,"A1",0.75845,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
12.3355555555556,"A1",0.7551,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
12.5022222222222,"A1",0.758675,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
12.6688888888889,"A1",0.7623,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
12.8355555555556,"A1",0.767675,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
13.0022222222222,"A1",0.76645,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
13.1688888888889,"A1",0.766275,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
